iter	RMSE
0	0.2570936809
1	0.2238441007
2	0.1970527995
3	0.1895133577
4	0.1819337739
5	0.1781269482
6	0.1769875681
7	0.1757310638
8	0.1742999457
9	0.173146919
10	0.1724662048
11	0.1722266131
12	0.1720732926
13	0.1719083571
14	0.1718054695
15	0.1715928997
16	0.1714446419
17	0.1708891214
18	0.1707436213
19	0.1703949234
20	0.1703108059
21	0.170059196
22	0.1698209647
23	0.1695136962
24	0.1693833637
25	0.169258282
26	0.1690941605
27	0.1689116451
28	0.1687447851
29	0.1685753909
30	0.1684186323
31	0.1682913635
32	0.1681623607
33	0.167987378
34	0.1678638254
35	0.1677725863
36	0.1676654748
37	0.1675822648
38	0.1674805032
39	0.1673975576
40	0.1672663218
41	0.1671773068
42	0.1669452988
43	0.1668282596
44	0.1666898736
45	0.1665934639
46	0.1665253481
47	0.1663022121
48	0.1661794677
49	0.1659854574
50	0.1658994065
51	0.1658099381
52	0.1656916797
53	0.1655233031
54	0.1654393649
55	0.1652965193
56	0.1651819686
57	0.1651056768
58	0.1650156032
59	0.1649270663
60	0.1647967708
61	0.1646689073
62	0.1645566673
63	0.1644571557
64	0.1643728976
65	0.1641710921
66	0.1641093196
67	0.1639779251
68	0.163886273
69	0.163775608
70	0.1636969897
71	0.1636138356
72	0.163521297
73	0.1633857984
74	0.1632756045
75	0.1632027276
76	0.1631031518
77	0.1630277157
78	0.1629220317
79	0.1628879661
80	0.1627639866
81	0.1626146629
82	0.1624584843
83	0.1624135095
84	0.1623352029
85	0.1622420189
86	0.1621296202
87	0.1619855711
88	0.1619025175
89	0.1618164868
90	0.1617165268
91	0.1616367186
92	0.1615419634
93	0.1614670283
94	0.1613577608
95	0.1612616778
96	0.1611643288
97	0.1611152457
98	0.1610486053
99	0.1609246279
