iter	Passed	Remaining
0	212	21066
1	233	11445
2	250	8083
3	261	6277
4	271	5155
5	281	4414
6	293	3900
7	304	3498
8	314	3180
9	327	2944
10	342	2772
11	353	2593
12	362	2425
13	373	2294
14	384	2181
15	395	2075
16	408	1994
17	420	1916
18	432	1844
19	442	1768
20	454	1708
21	465	1651
22	474	1589
23	486	1540
24	499	1497
25	511	1457
26	527	1425
27	546	1404
28	576	1410
29	600	1401
30	618	1377
31	633	1346
32	650	1320
33	667	1295
34	684	1270
35	699	1242
36	713	1215
37	727	1186
38	753	1179
39	770	1155
40	786	1132
41	802	1108
42	823	1091
43	837	1065
44	851	1040
45	860	1009
46	871	982
47	886	959
48	897	934
49	906	906
50	920	884
51	932	861
52	943	837
53	954	813
54	965	789
55	978	768
56	987	745
57	999	723
58	1013	704
59	1036	690
60	1053	673
61	1066	653
62	1077	633
63	1089	612
64	1101	592
65	1120	577
66	1139	561
67	1149	541
68	1161	521
69	1172	502
70	1182	482
71	1193	464
72	1206	446
73	1218	428
74	1227	409
75	1239	391
76	1251	373
77	1260	355
78	1272	338
79	1283	320
80	1295	303
81	1306	286
82	1320	270
83	1331	253
84	1341	236
85	1352	220
86	1363	203
87	1373	187
88	1385	171
89	1397	155
90	1410	139
91	1420	123
92	1431	107
93	1443	92
94	1453	76
95	1464	61
96	1476	45
97	1486	30
98	1496	15
99	1508	0
